model_date,date,geography_modeled,rt_median,rt_lower,rt_upper
2021-02-03,2020-03-16,covidregion_11,3.21284850795914,2.57187750130606,4.0462663572351
2021-02-03,2020-03-18,covidregion_11,2.28784593031108,1.80935968232453,2.83382117336863
2021-02-03,2020-03-20,covidregion_11,1.63161184948499,1.34254435798201,1.80475791140103
2021-02-03,2020-03-22,covidregion_11,1.30425379860042,1.16811172943509,1.43637864556012
2021-02-03,2020-03-24,covidregion_11,1.07679570793859,0.952656153987281,1.20924642227249
2021-02-03,2020-03-26,covidregion_11,1.09987771569973,0.983918437924582,1.2465191267711
2021-02-03,2020-03-28,covidregion_11,1.14355904205933,1.0328992043894,1.39958506541985
2021-02-03,2020-03-30,covidregion_11,1.21970198879521,1.1246970651658,1.4017957955167
2021-02-03,2020-04-01,covidregion_11,1.25703980997674,1.10794840116557,1.44077483983211
2021-02-03,2020-04-03,covidregion_11,1.25519046591072,1.1292376754911,1.38778404601016
2021-02-03,2020-04-05,covidregion_11,1.20253527148721,1.11604878139776,1.33113075737608
2021-02-03,2020-04-07,covidregion_11,1.15245034531003,1.0723096812933,1.26944791742475
2021-02-03,2020-04-09,covidregion_11,1.11486177971794,1.03162325346301,1.22398921063544
2021-02-03,2020-04-11,covidregion_11,1.07867131906838,0.985780290379779,1.18297093357103
2021-02-03,2020-04-13,covidregion_11,1.07532035878997,0.970128012088016,1.1363245348838
2021-02-03,2020-04-15,covidregion_11,1.01428132643828,0.948156678066097,1.09963298100459
2021-02-03,2020-04-17,covidregion_11,0.987260452544691,0.91674860535725,1.0830840638476
2021-02-03,2020-04-19,covidregion_11,0.965452724237575,0.899586532873378,1.04954830735829
2021-02-03,2020-04-21,covidregion_11,0.958131732929109,0.886887995642643,1.04839952904506
2021-02-03,2020-04-23,covidregion_11,0.942141948510862,0.869595364334557,1.04888419909628
2021-02-03,2020-04-25,covidregion_11,0.938989291323981,0.883522232121373,1.01770547756721
2021-02-03,2020-04-27,covidregion_11,0.928173865667721,0.871543502870742,1.00696115384493
